waitTime,numInQueue,sessionTime,hoursToDeadline,signUpTimeClean,adjustedSessionTAs,bitAndKarel,imagesAndGraphics,mapsAndDictionaries,lambdas,fileReading,grids,strings,userInteraction,queuesAndStacks,recursion,structs,objectOrientedProgramming,pointersAndMemory,sorting,hashTables,CS106ABinary
30,5,0,50.05,11111,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,6,0.01,122.0666667,44444,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16,5,0.01,122.0166667,77778,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
26,5,0.01,121.9833333,66667,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,6,0,121.9166667,44444,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,7,0.02,121.9,88889,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,5,0.02,49.6,11111,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,4,0.01,121.6333333,93125,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,0.01,49.21666667,33333,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0.01,121.0666667,11111,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12,8,0.01,29.11666667,33333,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0.01,29.4,77778,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0.01,29.4,77778,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,5,0.02,101.4333333,66667,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
29,3,0.01,101.45,22222,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
30,3,0.03,29.38333333,22222,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,9,0.03,101,22222,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,9,0,101,22222,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,7,0.02,29.15,44444,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,6,0.01,29.2,11111,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,0,0.02,101.4666667,77778,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,2,0.02,100.9166667,44444,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,3,0,100.8333333,66667,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,4,0,100.8166667,11111,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,2,0.01,28.61666667,66667,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1,0.02,100.65,55556,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,2,0,100.6333333,80625,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,2,0.01,100.6,88889,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,3,0,100.5833333,33333,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,3,0.02,28.51666667,33333,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0.01,28.35,77778,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0,28.33333333,22222,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,0.01,100.3833333,66667,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,28.01666667,66667,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,27.91666667,33333,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.02,27.76666667,33333,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.01,99.8,22222,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.03,27.71666667,66667,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,99.73333333,84375,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,99.7,88889,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.01,27.61666667,33333,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.01,99.68333333,33333,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0,0,27.56666667,66667,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,0,99.61666667,11111,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,1,0.01,99.6,55556,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,0.01,27.5,44444,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,0.01,27.46666667,33333,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0.01,99.53333333,33333,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8,1,0.01,99.53333333,33333,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
13,3,0.02,99.51666667,77778,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14,3,0,99.51666667,77778,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14,5,0.03,99.46666667,11111,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,3,0,27.26666667,66667,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,99.23333333,33333,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,27.08333333,55556,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,27.06666667,86875,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0.02,27.06666667,86875,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.01,99.13333333,86875,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8,0,0.01,99.13333333,86875,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,1,0,26.98333333,22222,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0.01,99.01666667,11111,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,26.91666667,7.875,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0.01,26.88333333,88889,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.01,98.95,88889,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,26.8,11111,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0.01,98.85,55556,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,26.71666667,33333,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0.01,26.7,77778,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0.01,26.65,11111,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0.02,26.65,11111,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,0.03,98.7,55556,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.01,26.51666667,66667,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.01,26.51666667,66667,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.01,98.56666667,11111,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,0,0.06,26.48333333,55556,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0.03,26.48333333,55556,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2,0.01,98.5,88889,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.01,26.3,44444,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0.01,26.16666667,90625,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.03,98.2,88889,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,26.01666667,0.9125,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.01,26,44444,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0,0.02,98.06666667,44444,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10,0,0.01,26,44444,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,2,0.02,25.98333333,88889,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,3,0,97.91666667,44444,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,1,0.01,97.86666667,77778,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,25.7,44444,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,0.02,25.66666667,33333,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,0.02,97.68333333,66667,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.01,25.43333333,55556,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0.01,25.38333333,88889,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,97.38333333,66667,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,0.01,25.21666667,33333,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,0.01,97.25,22222,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,4,0,77.35,88889,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
28,2,0,5.383333333,22222,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,7,0.01,5.116666667,33333,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,5,0,5.266666667,33333,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,6,0.01,5.15,44444,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,3,0,77.36666667,44444,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
35,0,0.03,5.416666667,33333,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,0,0.03,77.48333333,33333,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12,8,0,5.033333333,55556,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,3,0.01,76.91666667,44444,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,1,0.01,76.86666667,77778,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,1,0,4.783333333,22222,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2,0.01,76.7,22222,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,4.366666667,33333,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0.02,76.4,22222,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.02,76.31666667,44444,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0,0.01,76.28333333,33333,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,0,0.03,4.216666667,33333,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,76.15,88889,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,0,76.15,88889,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,1,0,76.13333333,33333,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,0,0,76.1,22222,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,1,0.01,76.06666667,11111,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
9,2,0,3.983333333,55556,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,3,0.01,3.966666667,83125,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,3,0.01,3.966666667,83125,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,0.01,75.96666667,77778,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.01,3.733333333,22222,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0.02,3.666666667,84375,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0.02,75.71666667,44444,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,0,3.616666667,33333,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0.01,75.63333333,66667,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,75.58333333,38.85,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,0,0.01,75.56666667,44444,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,1,0,75.55,88889,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,1,0,75.53333333,33333,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,2,0,3.416666667,66667,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
