waitTime,numInQueue,sessionTime,daysLeftClean,daysLeft,hoursToDeadline,signUpTimeClean,adjustedSessionTAs,bitAndKarel,imagesAndGraphics,mapsAndDictionaries,lambdas,fileReading,grids,strings,userInteraction,queuesAndStacks,recursion,structs,objectOrientedProgramming,pointersAndMemory,sorting,hashTables,CS106ABinary
5,1,0.03,2.12,2.12,50.86666667,33333.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0.01,2.12,2.12,50.86666667,33333.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,3,0.01,2.12,2.12,50.83333333,22222.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,2,0.01,2.12,2.12,50.78333333,55556.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,1,0.0,2.11,2.11,50.6,44444.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,2,0.01,0.0,82.11,122.65,88889.0,8.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,3,0.01,2.11,2.11,50.56666667,33333.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,2,0.0,2.1,2.10,50.46666667,89375.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,3,0.0,2.1,2.10,50.45,44444.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,4,0.01,2.1,2.10,50.43333333,88889.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,4,0.01,2.1,2.10,50.31666667,836.9,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,3,0.07,2.09,2.09,50.08333333,22222.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,3,0.01,2.09,2.09,50.08333333,22222.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,5,0.0,2.09,2.09,50.05,11111.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,6,0.01,5.09,5.09,122.0666667,44444.0,8.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16,5,0.01,0.0,82.08,122.0166667,77778.0,8.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
26,5,0.01,0.0,82.08,121.9833333,66667.0,8.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,6,0.0,5.08,5.08,121.9166667,44444.0,8.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,7,0.02,5.08,5.08,121.9,88889.0,8.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,5,0.02,2.07,2.07,49.6,11111.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,4,0.01,5.07,5.07,121.6333333,93125.0,8.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,0.01,2.05,2.05,49.21666667,33333.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0.01,0.0,82.04,121.0666667,11111.0,8.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12,8,0.01,1.21,1.21,29.11666667,33333.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0.01,1.23,1.23,29.4,77778.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0.01,1.23,1.23,29.4,77778.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,5,0.02,4.23,4.23,101.4333333,66667.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
29,3,0.01,4.23,4.23,101.45,22222.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
30,3,0.03,1.22,1.22,29.38333333,22222.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,9,0.03,4.21,4.21,101,22222.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,9,0.0,4.21,4.21,101,22222.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,7,0.02,1.21,1.21,29.15,44444.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,6,0.01,1.22,1.22,29.2,11111.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,0,0.02,0.0,81.23,101.4666667,77778.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,2,0.02,4.2,4.20,100.9166667,44444.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,3,0.0,4.2,4.20,100.8333333,66667.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,4,0.0,4.2,4.20,100.8166667,11111.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,2,0.01,1.19,1.19,28.61666667,66667.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1,0.02,4.19,4.19,100.65,55556.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,2,0.0,4.19,4.19,100.6333333,80625.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,2,0.01,4.19,4.19,100.6,88889.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,3,0.0,4.19,4.19,100.5833333,33333.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,3,0.02,1.19,1.19,28.51666667,33333.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0.01,1.18,1.18,28.35,77778.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0.0,1.18,1.18,28.33333333,22222.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,0.01,4.18,4.18,100.3833333,66667.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.0,1.17,1.17,28.01666667,66667.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0,1.16,1.16,27.91666667,33333.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.02,1.16,1.16,27.76666667,33333.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.01,0.0,81.16,99.8,22222.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.03,1.15,1.15,27.71666667,66667.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0,4.16,4.16,99.73333333,84375.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,4.15,4.15,99.7,88889.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.01,1.15,1.15,27.61666667,33333.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.01,4.15,4.15,99.68333333,33333.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0,0.0,1.15,1.15,27.56666667,66667.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,0.0,4.15,4.15,99.61666667,11111.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,1,0.01,4.15,4.15,99.6,55556.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,0.01,1.15,1.15,27.5,44444.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,0.01,1.14,1.14,27.46666667,33333.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0.01,4.15,4.15,99.53333333,33333.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8,1,0.01,4.15,4.15,99.53333333,33333.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
13,3,0.02,4.15,4.15,99.51666667,77778.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14,3,0.0,4.15,4.15,99.51666667,77778.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14,5,0.03,4.14,4.14,99.46666667,11111.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,3,0.0,0.0,81.14,27.26666667,66667.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0.0,4.13,4.13,99.23333333,33333.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.0,1.13,1.13,27.08333333,55556.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0,1.13,1.13,27.06666667,86875.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0.02,0.0,81.13,27.06666667,86875.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.01,4.13,4.13,99.13333333,86875.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8,0,0.01,4.13,4.13,99.13333333,86875.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,1,0.0,1.12,1.12,26.98333333,22222.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0.01,4.13,4.13,99.01666667,11111.0,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,1.12,1.12,26.91666667,7.875,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0.01,1.12,1.12,26.88333333,88889.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.01,4.12,4.12,98.95,88889.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.0,1.12,1.12,26.8,11111.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0.01,4.12,4.12,98.85,55556.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,1.11,1.11,26.71666667,33333.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0.01,1.11,1.11,26.7,77778.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0.01,1.11,1.11,26.65,11111.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0.02,1.11,1.11,26.65,11111.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,0.03,4.11,4.11,98.7,55556.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.01,1.1,1.10,26.51666667,66667.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.01,1.1,1.10,26.51666667,66667.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.01,4.11,4.11,98.56666667,11111.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,0,0.06,1.1,1.10,26.48333333,55556.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0.03,1.1,1.10,26.48333333,55556.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2,0.01,4.1,4.10,98.5,88889.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.01,1.1,1.10,26.3,44444.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0.01,0.0,81.09,26.16666667,90625.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.03,4.09,4.09,98.2,88889.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,1.08,1.08,26.01666667,0.9125,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.01,1.08,1.08,26,44444.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0,0.02,4.09,4.09,98.06666667,44444.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10,0,0.01,1.08,1.08,26,44444.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,2,0.02,1.08,1.08,25.98333333,88889.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,3,0.0,4.08,4.08,97.91666667,44444.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,1,0.01,4.08,4.08,97.86666667,77778.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,1.07,1.07,25.7,44444.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,0.02,0.0,81.07,25.66666667,33333.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,0.02,4.07,4.07,97.68333333,66667.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.01,1.06,1.06,25.43333333,55556.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0.01,1.06,1.06,25.38333333,88889.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0,4.06,4.06,97.38333333,66667.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,0.01,0.0,81.05,25.21666667,33333.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,0.01,4.05,4.05,97.25,22222.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,4,0.0,3.22,3.22,77.35,88889.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
28,2,0.0,0.22,0.22,5.383333333,22222.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,7,0.01,0.21,0.21,5.116666667,33333.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,5,0.0,0.22,0.22,5.266666667,33333.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,6,0.01,0.21,0.21,5.15,44444.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,3,0.0,3.22,3.22,77.36666667,44444.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
35,0,0.03,0.23,0.23,5.416666667,33333.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,0,0.03,3.23,3.23,77.48333333,33333.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12,8,0.0,0.21,0.21,5.033333333,55556.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,3,0.01,3.2,3.20,76.91666667,44444.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
